Ponderador,COUNTRY,P1,P2,P0,P7,P5,P6,P13,P29,P37,P39,P8_1,P8_2,P8_3,P23,P24,P25_1,P25_3,P25_4,P25_8,P26_1,P26_4,P26_8,P26_9,P27_1,P27_2,P27_3,P28_1,P28_2,P28_3,P28_4,P9_1,P9_2,P38_1,P38_2
1.63907,Peru,50+,Hombre,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1
1.23822,Peru,25-50,Mujer,1,0,0,1,1,1,1,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
.74893,Peru,50+,Hombre,1,1,1,0,0,99,1,0,1,1,0,1,1,0,0,0,0,,,,,1,1,1,1,1,1,1,0,1,1,0
.58758,Peru,25-50,Hombre,1,1,1,0,1,99,1,1,1,1,1,1,1,0,0,1,0,,,,,1,1,0,0,1,1,1,0,1,0,1
1.10036,Peru,25-50,Mujer,1,0,1,1,0,0,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
.73691,Peru,50+,Hombre,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
.62879,Peru,18-25,Hombre,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,,,,,1,1,1,1,0,0,0,0,1,1,0
1.02577,Peru,18-25,Mujer,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,,,,,1,1,1,1,0,1,1,1,0,1,0
1.00476,Peru,25-50,Mujer,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,,,,,1,1,0,0,1,1,1,0,1,0,0
.73225,Peru,25-50,Mujer,1,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
1.26109,Peru,50+,Hombre,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,,,,,1,1,1,1,1,1,1,0,1,1,0
1.092,Peru,25-50,Hombre,1,0,1,1,0,1,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
1.01184,Peru,18-25,Mujer,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,,,,,1,1,1,1,1,1,1,0,1,0,0
.71967,Peru,25-50,Hombre,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,,,,,1,1,1,1,1,0,1,0,1,0,0
1.2581,Peru,50+,Mujer,1,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1
1.0752,Peru,25-50,Mujer,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
.7205,Peru,50+,Mujer,1,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
.99161,Peru,25-50,Mujer,1,0,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
1.0425,Peru,18-25,Mujer,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,,,,,1,1,1,0,0,0,1,0,1,1,0
1.0737,Peru,18-25,Hombre,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,,,,,1,1,1,1,1,1,0,0,1,0,0
1.23716,Peru,25-50,Hombre,1,1,1,1,1,99,1,1,1,1,0,1,1,0,0,1,0,,,,,1,1,1,0,0,0,0,1,0,0,0
1.06857,Peru,25-50,Mujer,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,,,,,1,1,1,0,0,1,1,1,0,1,0
.63067,Peru,25-50,Hombre,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,,,,,1,1,1,1,0,0,0,0,1,1,0
.97549,Peru,50+,Hombre,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,0,0
.7363,Peru,25-50,Hombre,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,,,,,1,1,0,0,1,1,1,0,1,1,0
1.09267,Peru,25-50,Mujer,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,,,,,1,1,1,0,1,0,1,0,1,0,
.7146400000000001,Peru,50+,Hombre,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,,,,,1,1,1,1,1,1,1,0,1,0,0
1.04914,Peru,18-25,Hombre,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,,,,,0,0,0,1,0,0,0,0,1,1,0
1.71629,Peru,50+,Hombre,1,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
1.05794,Peru,25-50,Mujer,1,0,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
.73691,Peru,50+,Hombre,1,0,1,1,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
.99161,Peru,25-50,Mujer,1,0,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0
1.18985,Peru,25-50,Mujer,1,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
.59253,Peru,25-50,Mujer,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,,,,,1,1,1,1,1,1,1,0,1,0,0
1.08204,Peru,25-50,Hombre,1,0,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
.65045,Peru,25-50,Hombre,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,,,,,1,1,1,1,0,0,0,1,0,1,0
.62963,Peru,25-50,Mujer,1,1,1,1,0,99,0,1,1,1,0,0,1,0,1,0,0,,,,,1,1,0,0,0,0,0,0,1,1,0
.65905,Peru,25-50,Hombre,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,,,,,1,1,1,0,1,1,0,0,1,0,0
.69872,Peru,25-50,Mujer,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
.6301600000000001,Peru,25-50,Mujer,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,,,,,1,1,1,1,1,1,1,0,1,1,0
.63334,Peru,18-25,Hombre,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,,,,,1,1,1,1,1,1,1,0,1,1,0
1.07841,Peru,25-50,Mujer,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,,,,,1,1,1,1,1,1,1,0,1,1,0
.99636,Peru,18-25,Hombre,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,,,,,1,1,1,1,0,1,1,0,1,0,0
1.02682,Peru,25-50,Mujer,1,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1
1.12229,Peru,25-50,Hombre,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
.62742,Peru,25-50,Mujer,1,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
